# mesh name: boxMesh_1
# primitive scorer name: eDep
# iX, iY, iZ, total(value) [MeV], total(val^2), entry
0,0,0,943.4533445434539,1365.482217784182,2000
0,0,1,929.772618489194,777.8303530678985,1999
0,0,2,942.7524319833846,1112.748931998941,1999
0,0,3,929.3522869385996,754.4883895743089,1999
0,0,4,926.1754116130503,772.1866075040654,1998
0,0,5,919.71259404047,518.7801729666328,1998
0,0,6,924.9906494532686,518.6536146094433,1997
0,0,7,939.4623650562202,748.1617885935708,1996
0,0,8,938.1718111126107,901.9029863594806,1995
0,0,9,924.4871868129766,557.0392463604913,1995
0,0,10,923.6563022528642,536.8850131873141,1995
0,0,11,985.8159023841871,3083.246930940975,1996
0,0,12,994.7560864094862,2790.62468521236,1996
0,0,13,979.4645515056752,1135.249906939709,1996
0,0,14,965.6388359923889,863.6581841715065,1996
0,0,15,973.4215153548655,847.0878828468765,1995
0,0,16,997.6367057362767,1398.020825567125,1995
0,0,17,1017.577663077574,1752.639477612292,1994
0,0,18,984.7630161678291,1229.52154603382,1993
0,0,19,971.7658021774424,829.1929938005178,1993
0,0,20,962.0451293102566,596.5702428137544,1992
0,0,21,988.1692575321623,1292.37569297134,1993
0,0,22,986.0114200426726,930.5997683951795,1993
0,0,23,1012.379602148955,1498.252694375163,1992
0,0,24,984.0658952760463,753.325335253931,1992
0,0,25,1003.884367360429,966.2332567772693,1992
0,0,26,988.6988590531582,758.8226771345088,1991
0,0,27,1023.364994399005,1110.195217681282,1991
0,0,28,1057.004035539667,2872.105765968827,1990
0,0,29,1012.929997051115,1134.70147359718,1986
0,0,30,1092.86049112257,6819.587034829058,1987
0,0,31,1001.724071730905,871.8254333777124,1984
0,0,32,999.4579810381847,804.0441027951168,1986
0,0,33,1003.978401245694,850.245097505216,1983
0,0,34,1013.251526173172,1041.094200593565,1983
0,0,35,1022.218201449952,1017.380711787896,1982
0,0,36,1007.953471842377,922.6439751995237,1979
0,0,37,1006.747792516932,785.0349148540182,1979
0,0,38,1026.8259039913,1308.891515590747,1979
0,0,39,1015.09973556087,986.6659461935926,1976
0,0,40,991.2921646756057,683.0108719603334,1977
0,0,41,1017.088875279627,842.0158976889865,1977
0,0,42,1026.170803612662,1140.813233054356,1975
0,0,43,991.8048459441151,687.9167395405116,1977
0,0,44,1021.797937606022,1309.987330034535,1975
0,0,45,1024.664540961191,1173.346430919209,1976
0,0,46,988.9675914013731,594.2882548811955,1972
0,0,47,1034.348099110633,1634.975751760924,1975
0,0,48,1024.748360887499,859.6345480406778,1975
0,0,49,1084.315059802678,1539.774216438442,1974
0,0,50,1113.854478398305,2168.647703550696,1974
0,0,51,1122.22037761614,2905.166711466059,1972
0,0,52,1112.25479039712,2648.492668844034,1971
0,0,53,1116.008716551072,2071.034724138035,1973
0,0,54,1110.435673640069,1835.651505285656,1973
0,0,55,1123.074680883838,2206.477807358056,1970
0,0,56,1074.390581556973,1220.95618295374,1971
0,0,57,1123.354450840257,2191.341585044083,1969
0,0,58,1101.151256562438,1481.513266979706,1970
0,0,59,1123.159272809446,2548.002357335934,1968
0,0,60,1085.180514511185,1199.400316974866,1968
0,0,61,1131.500215336256,2030.083521012787,1966
0,0,62,1101.282592593886,1350.527139385364,1967
0,0,63,1129.477134402252,1833.390218452848,1966
0,0,64,1081.132699164277,1059.886516297785,1966
0,0,65,1123.763164308306,2026.688230174692,1964
0,0,66,1135.5580695797,3343.520746092694,1960
0,0,67,1107.5761436512,1517.940009981726,1959
0,0,68,1129.482277364662,1663.127519601088,1957
0,0,69,1136.927153207507,1830.313186502269,1958
0,0,70,1119.890918825098,1704.90685184007,1952
0,0,71,1087.307909402,1008.785946707476,1953
0,0,72,1129.564670706829,1635.87161282998,1953
0,0,73,1096.391131683272,1193.906261380587,1950
0,0,74,1110.904518683781,1184.352126126117,1946
0,0,75,1138.601633042315,1990.519499830314,1949
0,0,76,1076.140901359987,905.0639833501815,1943
0,0,77,1189.49504660126,3482.842614062173,1942
0,0,78,1096.670334806052,1033.622555421955,1936
0,0,79,1119.829271239936,1291.876857538242,1940
0,0,80,1122.800273743634,1315.769993488487,1940
0,0,81,1153.807202202529,1892.091699424028,1937
0,0,82,1167.133859864955,2364.805572115438,1936
0,0,83,1131.443777442509,1281.288003851026,1936
0,0,84,1166.754776422134,2779.577284010856,1933
0,0,85,1127.624169189049,1075.594537397332,1931
0,0,86,1147.425672214769,1415.858928924238,1934
0,0,87,1137.727591585541,1163.271490800555,1930
0,0,88,1158.874500124434,1305.796338638366,1928
0,0,89,1198.352490389786,3192.537939587985,1930
0,0,90,1197.605261657515,2206.085015745529,1932
0,0,91,1141.143869728392,1321.330742562909,1923
0,0,92,1133.726546035921,989.2083438995794,1921
0,0,93,1155.6597360213,1237.710248971222,1924
0,0,94,1178.863680059487,1854.983698606711,1922
0,0,95,1173.951184956201,1392.0381990444,1921
0,0,96,1187.634141829842,1676.868551981106,1917
0,0,97,1176.297277097462,2101.961501968313,1911
0,0,98,1176.238930164359,1711.077646241535,1914
0,0,99,1177.869121629128,2454.017531801418,1910
0,0,100,1162.641116796525,1212.550959958109,1908
0,0,101,1153.915614082696,1167.564252164098,1904
0,0,102,1155.638389990301,1239.942365306317,1902
0,0,103,1153.358427770187,1138.982866732544,1902
0,0,104,1156.501708965092,1142.812681197478,1905
0,0,105,1172.351610638183,1368.883938018752,1899
0,0,106,1196.04654311685,3049.535892989254,1899
0,0,107,1151.576104706609,1039.125843028697,1900
0,0,108,1159.807021841968,1066.230719058741,1898
0,0,109,1181.732643259788,1661.11233889528,1900
0,0,110,1234.19001998572,1802.642171513367,1899
0,0,111,1210.312135499825,1596.685916965097,1892
0,0,112,1186.181403771222,1297.591245428071,1889
0,0,113,1187.675237748736,1260.350148003943,1889
0,0,114,1200.653885427477,1359.627409208223,1889
