# mesh name: boxMesh_1
# primitive scorer name: dDep
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
0,0,0,1.679532115440746e-09,4.327347954185637e-21,2000
0,0,1,1.655177738084871e-09,2.465021179487723e-21,1999
0,0,2,1.678284353522724e-09,3.52641122066149e-21,1999
0,0,3,1.654429465430539e-09,2.391048192761783e-21,1999
0,0,4,1.648774003857517e-09,2.447135592622129e-21,1998
0,0,5,1.637268920185744e-09,1.644065584246266e-21,1998
0,0,6,1.646664894691681e-09,1.643664508317967e-21,1997
0,0,7,1.672427388683836e-09,2.370998569665716e-21,1996
0,0,8,1.670129949380093e-09,2.858219603350037e-21,1995
0,0,9,1.645768632382381e-09,1.765312364924679e-21,1995
0,0,10,1.644289494795977e-09,1.701441610289984e-21,1995
0,0,11,1.75494578247285e-09,9.771113914985732e-21,1996
0,0,12,1.770861064638404e-09,8.843765129398642e-21,1996
0,0,13,1.743639131392976e-09,3.597719031637701e-21,1996
0,0,14,1.719026644344406e-09,2.737018049531976e-21,1996
0,0,15,1.732881341038266e-09,2.684505128745838e-21,1995
0,0,16,1.775989132390442e-09,4.430466014595159e-21,1995
0,0,17,1.811487950070237e-09,5.554287532339942e-21,1994
0,0,18,1.753071438368285e-09,3.896475162811349e-21,1993
0,0,19,1.729933846632188e-09,2.627794458700809e-21,1993
0,0,20,1.712629141149334e-09,1.890589995347823e-21,1992
0,0,21,1.759135216505733e-09,4.095666159676566e-21,1993
0,0,22,1.755293842277257e-09,2.949162538685661e-21,1993
0,0,23,1.80223438144586e-09,4.748110702150661e-21,1992
0,0,24,1.751830426363972e-09,2.387362358798989e-21,1992
0,0,25,1.787111196247503e-09,3.062088581253216e-21,1992
0,0,26,1.7600780111527e-09,2.40478397793877e-21,1991
0,0,27,1.821790535644027e-09,3.518318247875639e-21,1991
0,0,28,1.88167463087262e-09,9.101986718463738e-21,1990
0,0,29,1.803214192392208e-09,3.595980992231613e-21,1986
0,0,30,1.945506158998166e-09,2.161194457108828e-20,1987
0,0,31,1.783265446047332e-09,2.762900868570919e-21,1984
0,0,32,1.779231359871327e-09,2.548095140302598e-21,1986
0,0,33,1.787278595018363e-09,2.694510653691357e-21,1983
0,0,34,1.803786577332769e-09,3.299330302787707e-21,1983
0,0,35,1.819749019125132e-09,3.224179915669271e-21,1982
0,0,36,1.794355000827813e-09,2.923949844619963e-21,1979
0,0,37,1.792208655001893e-09,2.487853147051936e-21,1979
0,0,38,1.827951633956429e-09,4.148006432067501e-21,1979
0,0,39,1.80707675277245e-09,3.126841791212787e-21,1976
0,0,40,1.76469460412282e-09,2.164528882888203e-21,1977
0,0,41,1.8106178118604e-09,2.668431507053221e-21,1977
0,0,42,1.826785426712456e-09,3.615349761329472e-21,1975
0,0,43,1.76560727739959e-09,2.18007606157724e-21,1977
0,0,44,1.819000867001958e-09,4.151479176223156e-21,1975
0,0,45,1.824103983573725e-09,3.71845067717446e-21,1976
0,0,46,1.760556407473929e-09,1.883358150302309e-21,1972
0,0,47,1.841342617574858e-09,5.181399568869396e-21,1975
0,0,48,1.824253199493058e-09,2.724266749403452e-21,1975
0,0,49,1.93029361412241e-09,4.879696504744845e-21,1974
0,0,50,1.982879576628915e-09,6.872658670383904e-21,1974
0,0,51,1.997772519128034e-09,9.206760118657156e-21,1972
0,0,52,1.980031818032036e-09,8.393334737669456e-21,1971
0,0,53,1.98671454333162e-09,6.563313501869874e-21,1973
0,0,54,1.976793433184629e-09,5.817360843326028e-21,1973
0,0,55,1.999293346610102e-09,6.992546004093063e-21,1970
0,0,56,1.912626095066949e-09,3.869330681602655e-21,1971
0,0,57,1.999791392040177e-09,6.944577821269898e-21,1969
0,0,58,1.960265348626746e-09,4.695061804149252e-21,1970
0,0,59,1.999443936839697e-09,8.074871019682935e-21,1968
0,0,60,1.931834293357686e-09,3.801018014231756e-21,1968
0,0,61,2.014292451530799e-09,6.43353509629457e-21,1966
0,0,62,1.960499152538738e-09,4.279953834312888e-21,1967
0,0,63,2.010690970418408e-09,5.81019460210931e-21,1966
0,0,64,1.924628387615952e-09,3.358885006509167e-21,1966
0,0,65,2.000518982227408e-09,6.422775084431569e-21,1964
0,0,66,2.021516228478603e-09,1.059594733050436e-20,1960
0,0,67,1.97170290859309e-09,4.810501748920727e-21,1959
0,0,68,2.010700125900852e-09,5.27061530041331e-21,1957
0,0,69,2.023953466032453e-09,5.80044318408067e-21,1958
0,0,70,1.993625625300401e-09,5.403018128906388e-21,1952
0,0,71,1.935621473785857e-09,3.196942256618819e-21,1953
0,0,72,2.010846802220432e-09,5.184238641040319e-21,1953
0,0,73,1.951791392119728e-09,3.783606809657691e-21,1950
0,0,74,1.977628069377962e-09,3.753328811812702e-21,1946
0,0,75,2.02693436877182e-09,6.308152807244205e-21,1949
0,0,76,1.91574200783408e-09,2.868237114880201e-21,1943
0,0,77,2.117534633248095e-09,1.103747208452818e-20,1942
0,0,78,1.952288428474684e-09,3.275651921607287e-21,1936
0,0,79,1.99351588049986e-09,4.094085300941998e-21,1940
0,0,80,1.998804848045393e-09,4.169805007597104e-21,1940
0,0,81,2.054003266122004e-09,5.996225390558926e-21,1937
0,0,82,2.077727332250963e-09,7.494302321378148e-21,1936
0,0,83,2.014191981003423e-09,4.060528178231962e-21,1936
0,0,84,2.077052489323818e-09,8.808754824346143e-21,1933
0,0,85,2.007392328675947e-09,3.408665276134163e-21,1931
0,0,86,2.042642890304719e-09,4.486996725184866e-21,1934
0,0,87,2.025378403439394e-09,3.686522197298865e-21,1930
0,0,88,2.063024050930889e-09,4.138197510736776e-21,1928
0,0,89,2.133302621553588e-09,1.011746791104656e-20,1930
0,0,90,2.13197240775903e-09,6.991301208694954e-21,1932
0,0,91,2.03146004901241e-09,4.187427570393992e-21,1923
0,0,92,2.018255757115867e-09,3.134898900539025e-21,1921
0,0,93,2.057301139897708e-09,3.922425970842465e-21,1924
0,0,94,2.098608714291728e-09,5.878626472514201e-21,1922
0,0,95,2.089863508881597e-09,4.411506480515103e-21,1921
0,0,96,2.114221857533791e-09,5.314161988596902e-21,1917
0,0,97,2.094040013337084e-09,6.661323514032906e-21,1911
0,0,98,2.093936144344997e-09,5.422573985570854e-21,1914
0,0,99,2.096838205093659e-09,7.777023828995042e-21,1910
0,0,100,2.069729367843402e-09,3.842693700131287e-21,1908
0,0,101,2.05419626054562e-09,3.700126381859017e-21,1904
0,0,102,2.057263139773151e-09,3.929499767872087e-21,1902
0,0,103,2.053204359555968e-09,3.609549149754352e-21,1902
0,0,104,2.058800016983265e-09,3.621686209888793e-21,1905
0,0,105,2.087015952663064e-09,4.338128341440839e-21,1899
0,0,106,2.129197582842545e-09,9.664280307624264e-21,1899
0,0,107,2.050031474704072e-09,3.293092383340263e-21,1900
0,0,108,2.064684122604811e-09,3.378990411384459e-21,1898
0,0,109,2.10371603185099e-09,5.264228993809678e-21,1900
0,0,110,2.197100457707905e-09,5.712751005784291e-21,1899
0,0,111,2.154593137049398e-09,5.060055302271262e-21,1892
0,0,112,2.111635698675086e-09,4.112194760312774e-21,1889
0,0,113,2.114295016334906e-09,3.994174045981213e-21,1889
0,0,114,2.137399556392458e-09,4.308793487797628e-21,1889
0,0,115,2.160599100983729e-09,4.934593849033465e-21,1888
0,0,116,2.115949926588162e-09,3.754922188845944e-21,1885
0,0,117,2.194237393094202e-09,7.561765788187209e-21,1885
0,0,118,2.187382753160906e-09,5.706306042838917e-21,1883
0,0,119,2.178826395799418e-09,5.25022462007489e-21,1880
0,0,120,2.141696555532264e-09,4.779452868872059e-21,1880
0,0,121,2.123969435450735e-09,4.005519702664843e-21,1874
0,0,122,2.1498307687575e-09,4.474368680412545e-21,1876
0,0,123,2.195435588020187e-09,6.136356578078525e-21,1875
0,0,124,2.140595913661578e-09,4.22476632230786e-21,1878
0,0,125,2.14889773316039e-09,5.873318530954099e-21,1867
0,0,126,2.146227700178881e-09,4.197551570812946e-21,1869
0,0,127,2.129514924750351e-09,4.444594492479108e-21,1866
0,0,128,2.154879436116189e-09,4.73862513746356e-21,1869
0,0,129,2.191929009606975e-09,5.848203333666626e-21,1867
0,0,130,2.126174403046338e-09,3.609652396360569e-21,1861
0,0,131,2.193951324304617e-09,4.889132284369052e-21,1859
